id_prestador,id_especialidad
50500212361896,9
10065602322140,1
10065602322140,4
50140142336881,3
51821052389173,105
50420212354669,9
51820422389189,105
51067562321631,105
51067282321799,105
51820632389205,105
51700142378542,105
14501052361893,1
14501052361893,4
53063712222150,1
53063712222150,4
52500282361584,3
51180492340345,105
51500072361668,105
51820842389185,105
51820632389190,105
50062032321877,8
52500352361811,3
50500282361815,9
14500142361886,8
14500142361886,1
14500142361886,4
51064342321800,105
50500072361778,9
52500282361817,3
50500212361819,9
51066652322012,105
51064412321803,105
51064342321827,105
51260142330293,105
51140142336887,105
50500072361664,9
51140142336816,105
51060562321818,105
50500212361676,9
50140142336694,3
51820632389164,105
50140142336733,3
51064272321783,105
51063572321888,105
50140142336757,3
50181052340354,101
50181052340354,105
51064412321785,105
51620422371190,105
51063572321810,105
51064412321819,105
50500072361677,9
10820422389241,1
10820422389241,4
51140142336803,105
51066022321828,105
51140142336809,105
51900702399897,105
10500702361883,1
10500702361883,4
10500072361884,1
10500072361884,4
52500072361908,10
51140142336525,105
50500282861793,3
50500072361833,8
51140142336810,105
52500212361847,3
50620422371215,9
50020052719672,101
51140142336870,105
51060912321798,105
51180912340352,105
51501192361857,101
52500702361841,3
50500212361854,10
52421052354656,3
50420212354673,9
52620422371211,3
51066232321691,105
52064412321892,3
52064412321892,10
52620422371234,3
52020132219678,10
51820632389156,105
50140142336414,3
51020132319662,105
51140142336526,105
51820562389255,101
51820562389255,105
52260772330284,10
51820842389197,105
51063572321886,105
51180072340347,105
51060562321876,105
50900142399661,10
50500212361605,10
51180702340346,105
53062602221976,10
50421542354664,9
51180212340341,105
51140982336541,101
51140982336541,105
50140142336804,3
50140142336837,10
51064902321843,105
51500072361800,101
14064412321953,1
14064412321953,4
50421332354659,9
53660282374672,105
51820842389150,105
50620212371199,9
51060352321900,105
51140982336747,105
50500072361603,9
51820912389192,105
51063012322094,105
53660282374668,105
50501192361844,9
53060912222102,10
50260212330392,9
52940142195673,3
51820912389145,105
53500072361593,101
53660282374675,105
14500072361784,8
14500072361784,1
14500072361784,4
50900142399739,9
51066442322005,105
51140142336893,105
52500212361910,10
53661402374685,1
53661402374685,4
50064902221967,9
51500212361837,105
52064342322051,3
50500072361799,9
50620422371232,10
52067632322186,3
51820842389212,105
51660282374676,105
51140422336775,105
52067632321974,3
50501052361867,8
51820632389206,105
50620422371214,9
51181682340335,101
51181682340335,105
51064342321792,105
51821052389201,105
50140142336756,3
51501052361590,101
50500702361824,9
53660282374673,105
51066582321797,105
50500212361673,101
51061822321844,105
51821262389191,105
51500212361606,105
51820352389231,105
51260772330343,105
51064102321809,105
50260212330299,8
14064412321952,1
14064412321952,4
51060562322028,105
53620212171241,105
50500072361663,9
50065392321996,8
14064272321682,3
14064272321682,1
14064272321682,4
10140142336688,1
10140142336688,4
52500282361891,10
51065322221613,101
51820842389144,105
52068052321750,3
51501192361601,105
50140142336714,3
50500632361838,9
51140142336537,105
52420982354675,3
50066382322053,101
51063572321806,105
50500072361679,3
51381122351213,105
50500702361809,10
51820842389196,105
50620422371209,9
51180212340337,105
53062742222109,10
53660282374724,8
51140982336899,105
50620422371243,9
50140142336427,101
51821192389184,105
51660282374666,105
51063712321808,105
51821192389218,105
13260072330335,1
13260072330335,4
52062522321873,3
52700282378532,10
51064832321728,105
50500072361597,9
51060562321908,105
51500702361797,101
52062522321955,3
51500492361907,105
14500072361779,1
14500072361779,4
10620422171204,1
10620422171204,4
52064272322042,3
51062742321813,105
51500072361678,105
51820212389238,105
50064902321962,8
52500912361822,3
51301052344002,105
50140142336695,3
51064272321969,105
52620422371210,3
51500492361894,105
51821192389148,105
51064412321687,105
50140142336426,3
51140072336448,105
51820632389202,105
51061052321829,105
51820842389245,105
51620422371196,105
51067282321988,105
50500072361835,9
53620422371233,2
53620422371233,5
53620422371233,105
53060912222101,10
51180632340361,105
50500072361571,9
51180352340333,105
51500352361602,105
52460142355804,3
53300082344007,9
53300082344007,101
50140142336697,3
10140142136748,1
10140142136748,4
14500072361788,8
14500072361788,1
14500072361788,4
50140142336428,3
50060562321991,8
